REGION,Grupos de edad,2020,2021,2022,2023
Norte de Santander,10-14,134754,135349,135196,135174
Norte de Santander,05-14,271682,273930,274189,274479
Norte de Santander,15-19,137463,136481,134734,133393
Norte de Santander,20-24,144381,143244,140104,136937
Norte de Santander,25-29,139605,141994,141836,140834
Norte de Santander,30-34,126434,129229,130573,131838
Norte de Santander,35-39,115566,117845,118951,119967
Norte de Santander,40-44,101418,104726,107173,109337
Norte de Santander,15-44,764867,773519,773371,772306
Norte de Santander,45-49,90835,91897,92908,94476
Norte de Santander,50-54,85181,86499,87194,87619
Norte de Santander,55-59,75813,77510,78807,80022
Norte de Santander,60-64,61851,64297,66491,68547
Norte de Santander,45-64,313680,320203,325400,330664
Norte de Santander,65-69,46750,48873,50953,53077
Norte de Santander,70-74,33181,34871,36561,38280
Norte de Santander,75-79,22234,23207,24229,25375
Norte de Santander,80-84,14023,14478,15000,15611
Norte de Santander,65-84,116188,121429,126743,132343
Norte de Santander,85-89,8217,8349,8511,8706
Norte de Santander,90-94,4343,4312,4290,4311
Norte de Santander,95-99,1883,1870,1865,1845
Norte de Santander,85-99,14443,14531,14666,14862
Norte de Santander,100-120,517,521,507,508
Quindio,Todas,555401,562117,569569,577543
Quindio,01-04,33529,33724,33875,33853
Quindio,05-09,33116,33748,34488,35309
Quindio,10-14,34727,34573,34624,34872
Quindio,05-14,67843,68321,69112,70181
Quindio,15-19,40027,39183,38447,37874
Quindio,20-24,43916,43403,42820,42206
Quindio,25-29,43363,43877,44178,44290
Quindio,30-34,39526,40614,41780,42962
Quindio,35-39,38848,39095,39471,40099
Quindio,40-44,36073,37285,38478,39489
Quindio,15-44,241753,243457,245174,246920
Quindio,45-49,34103,34103,34425,35100
Quindio,50-54,36117,35767,35449,35188
Quindio,55-59,35629,36051,36399,36587
Quindio,60-64,32027,32719,33433,34179
Quindio,45-64,137876,138640,139706,141054
Quindio,65-69,26104,27237,28349,29405
Quindio,70-74,19434,20363,21341,22362
Quindio,75-79,13035,13810,14619,15458
Quindio,80-84,7918,8358,8845,9372
Quindio,65-84,66491,69768,73154,76597
Quindio,85-89,4440,4634,4864,5118
Quindio,90-94,2239,2303,2371,2461
Quindio,95-99,943,963,998,1031
Quindio,85-99,7622,7900,8233,8610
Quindio,100-120,287,307,315,328
Risaralda,Todas,961055,968626,977829,988091
Risaralda,01-04,62849,62534,62257,61872
Risaralda,05-09,62758,63015,63443,63980
Risaralda,10-14,64835,64272,64018,64008
Risaralda,05-14,127593,127287,127461,127988
Risaralda,15-19,70985,69606,68460,67572
Risaralda,20-24,75486,74435,73401,72403
Risaralda,25-29,75712,75568,75322,74989
Risaralda,30-34,69858,70994,72218,73394
Risaralda,35-39,68500,68280,68280,68717
Risaralda,40-44,62593,64647,66540,68006
Risaralda,15-44,423134,423530,424221,425081
Risaralda,45-49,57904,57887,58465,59647
Risaralda,50-54,60128,59743,59383,59088
Risaralda,55-59,58127,59065,59858,60391
Risaralda,60-64,52160,53248,54427,55732
Risaralda,45-64,228319,229943,232133,234858
Risaralda,65-69,41927,44051,46093,47930
Risaralda,70-74,31149,32487,33982,35658
Risaralda,75-79,21109,22462,23843,25203
Risaralda,80-84,12606,13396,14260,15209
Risaralda,65-84,106791,112396,118178,124000
Risaralda,85-89,6936,7296,7712,8168
Risaralda,90-94,3458,3600,3754,3921
Risaralda,95-99,1433,1492,1567,1647
Risaralda,85-99,11827,12388,13033,13736
Risaralda,100-120,542,548,546,556
Santander,Todas,2280908,2306455,2324090,2340657
Santander,01-04,165045,164804,163500,161665
Santander,05-09,167598,168594,168978,169397
Santander,10-14,171002,170779,170250,169908
Santander,05-14,338600,339373,339228,339305
Santander,15-19,178686,177167,175301,173653
Santander,20-24,191313,189029,185560,182219
Santander,25-29,187948,190646,191430,191048
Santander,30-34,173896,176550,178635,180864
Santander,35-39,164489,166698,168175,169522
Santander,40-44,150269,153825,156887,159660
Santander,15-44,1046601,1053915,1055988,1056966
Santander,45-49,140103,140811,141874,143721
Santander,50-54,137287,138036,138201,138081
Santander,55-59,123501,126617,129061,130945
Santander,60-64,100919,104703,108382,111995
Santander,45-64,501810,510167,517518,524742
Santander,65-69,78396,81533,84766,88138
Santander,70-74,58345,60810,63281,65824
Santander,75-79,40077,41999,43975,45988
Santander,80-84,25188,26270,27449,28743
Santander,65-84,202006,210612,219471,228693
Santander,85-89,14770,15225,15730,16316
Santander,90-94,7800,7933,8079,8240
Santander,95-99,3331,3431,3550,3662
Santander,85-99,25901,26589,27359,28218
Santander,100-120,945,995,1026,1068
Sucre,Todas,949252,962457,972350,981727
Sucre,01-04,82687,82720,82308,81739
Sucre,05-09,84460,84868,85019,85182
Sucre,10-14,85721,85707,85550,85422
Sucre,05-14,170181,170575,170569,170604
Sucre,15-19,86649,86304,85652,85098
Sucre,20-24,80649,82114,82846,83052
Sucre,25-29,74317,75235,75806,76481
Sucre,30-34,67633,69372,70725,71933
Sucre,35-39,62286,63320,64151,65027
Sucre,40-44,56795,58088,59207,60254
Sucre,15-44,428329,434433,438387,441845
Sucre,45-49,53072,53320,53668,54284
Sucre,50-54,50698,51386,51766,51947
Sucre,55-59,44389,45654,46740,47684
Sucre,60-64,35679,37131,38573,39974
Sucre,45-64,183838,187491,190747,193889
Sucre,65-69,28737,29439,30207,31169
Sucre,70-74,21628,22717,23720,24586
Sucre,75-79,14510,15167,15861,16649
Sucre,80-84,9223,9586,9990,10417
Sucre,65-84,74098,76909,79778,82821
Sucre,85-89,5469,5603,5763,5947
Sucre,90-94,2934,2967,3007,3061
Sucre,95-99,1299,1324,1358,1375
Sucre,85-99,9702,9894,10128,10383
Sucre,100-120,417,435,433,446
Tolima,Todas,1339998,1343898,1346935,1350060
Tolima,01-04,90990,90697,89843,88969
Tolima,05-09,98101,97074,96137,95272
Tolima,10-14,105271,103619,102115,100804
Tolima,05-14,203372,200693,198252,196076
Tolima,15-19,112183,109829,107523,105484
Tolima,20-24,106504,106955,106772,105887
Tolima,25-29,97209,97637,97936,98276
Tolima,30-34,89609,90839,92082,93213
