Cundinamarca,Tenjo,21.935,23.052,24.096
Cundinamarca,Tibacuy,4.335,4.477,4.639
Cundinamarca,Tibirita,3.158,3.207,3.285
Cundinamarca,Tocaima,15.735,16.136,16.611
Cundinamarca,Tocancipá,39.996,43.020,45.714
Cundinamarca,Topaipí,4.139,4.189,4.284
Cundinamarca,Ubalá,7.717,7.696,7.789
Cundinamarca,Ubaque,6.727,6.875,7.067
Cundinamarca,Villa de San Diego de Ubaté,42.558,44.802,46.911
Cundinamarca,Une,6.945,7.144,7.371
Cundinamarca,Útica,4.246,4.324,4.434
Cundinamarca,Vergara,6.847,6.975,7.167
Cundinamarca,Vianí,4.339,4.497,4.667
Cundinamarca,Villagómez,1.758,1.783,1.826
Cundinamarca,Villapinzón,17.187,17.796,18.433
